DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,"Overall index excluding energy, food, alcohol and tobacco",Slovakia,2016-04,1.0,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,"Overall index excluding energy, food, alcohol and tobacco",Slovakia,2016-05,1.0,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,"Overall index excluding energy, food, alcohol and tobacco",Slovakia,2016-06,0.9,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,"Overall index excluding energy, food, alcohol and tobacco",Slovakia,2016-07,0.8,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,"Overall index excluding energy, food, alcohol and tobacco",Slovakia,2016-08,0.7,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,"Overall index excluding energy, food, alcohol and tobacco",Slovakia,2016-09,0.7,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,"Overall index excluding energy, food, alcohol and tobacco",Slovakia,2016-10,0.9,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,"Overall index excluding energy, food, alcohol and tobacco",Slovakia,2016-11,0.9,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,"Overall index excluding energy, food, alcohol and tobacco",Slovakia,2016-12,0.9,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,"Overall index excluding energy, food, alcohol and tobacco",Slovakia,2017-01,1.1,b,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,"Overall index excluding energy, food, alcohol and tobacco",Slovakia,2017-02,1.3,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,"Overall index excluding energy, food, alcohol and tobacco",Slovakia,2017-03,1.3,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,"Overall index excluding energy, food, alcohol and tobacco",Slovakia,2017-04,1.2,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,"Overall index excluding energy, food, alcohol and tobacco",Slovakia,2017-05,1.3,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,"Overall index excluding energy, food, alcohol and tobacco",Slovakia,2017-06,1.3,,
ESTAT:PRC_HICP_MANR(1.0),01/10/25 11:00:00,Monthly,Annual rate of change,"Overall index excluding energy, food, alcohol and tobacco",Slovakia,2017-07,1.4,,
